"file","OM","Ftrgt","Btrigger","HCR","TACconstr","BB","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","catch_median_long","catch_median_short","catch_median_medium","conv_failed","F_maxed","ssb_median_long","ssb_median_short","ssb_median_medium","F_median_long","F_median_medium","F_median_short","Blim","recovery_time","recovery_proportion"
"OM1_HCR-C_Ftrgt-0.1_Btrigger-140000_TACconstr-TRUE_BB-TRUE.rds",1,0.1,140000,"C",TRUE,TRUE,19534.90491,15885.6636,16954.6552,0.06135,0.0403,0.0896,0.0752,0.055,0.111,0.095,0.375513318,0.402717059,0.391417293,18715.1,15259.9,16257.5,0,0,210362.2444,168965.0288,197523.0905,0.096905507,0.089064141,0.096371643,119970,1,0.972
"OM1_HCR-C_Ftrgt-0.1_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds",1,0.1,160000,"C",FALSE,FALSE,19330.25366,14226.2148,17397.43043,0.0521,0.0343,0.075,0.0648,0.047,0.09,0.08,0.093440735,0.184882779,0.14845954,19096.5,15174.5,17525,0,0,211344.807,171485.3752,199196.7078,0.097762505,0.094821115,0.088364849,119970,1,0.976
"OM1_HCR-C_Ftrgt-0.1_Btrigger-160000_TACconstr-TRUE_BB-TRUE.rds",1,0.1,160000,"C",TRUE,TRUE,19466.35019,15461.7524,16846.7495,0.0568,0.0361,0.0856,0.0694,0.05,0.106,0.089,0.373985599,0.400446128,0.391010871,18769.7,14419.45,16161.8,0,0,210757.4748,169563.6984,198005.0435,0.095710916,0.087895226,0.091573988,119970,1,0.974
"OM1_HCR-C_Ftrgt-0.1_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds",1,0.1,180000,"C",FALSE,FALSE,19182.94936,13485.758,17218.028,0.048,0.0311,0.0696,0.0602,0.043,0.083,0.077,0.100707956,0.212571174,0.164905033,19210,13937.5,17706.5,0,0,212036.3781,172541.0926,200331.7731,0.096761118,0.093024455,0.082536813,119970,1,0.977
"OM1_HCR-C_Ftrgt-0.1_Btrigger-180000_TACconstr-TRUE_BB-TRUE.rds",1,0.1,180000,"C",TRUE,TRUE,19334.5026,13793.05768,16737.78678,0.04805,0.0316,0.069,0.06,0.042,0.084,0.078,0.373105261,0.409869803,0.395866766,18548.25,14198.05,16054.75,0,0,211534.4635,172604.8193,199636.0542,0.093939803,0.086335314,0.083421039,119970,1,0.977
"OM1_HCR-C_Ftrgt-0.1_Btrigger-2e+05_TACconstr-FALSE_BB-FALSE.rds",1,0.1,2e+05,"C",FALSE,FALSE,18921.7574,12690.5118,16925.78665,0.045,0.0291,0.065,0.0568,0.038,0.076,0.073,0.112189231,0.227482614,0.181213568,19312.5,12629.5,17407,0,0,212856.2845,173602.648,201624.446,0.094964045,0.090035869,0.075704694,119970,1,0.981
"OM1_HCR-C_Ftrgt-0.1_Btrigger-2e+05_TACconstr-TRUE_BB-TRUE.rds",1,0.1,2e+05,"C",TRUE,TRUE,19058.77099,12978.8119,16448.26666,0.04515,0.0291,0.0652,0.0572,0.038,0.078,0.074,0.371395223,0.462095758,0.399920981,18170.9,13408.05,15954.45,0,0,212630.1574,173652.9544,201185.5896,0.091532353,0.083758487,0.076952644,119970,1,0.981
"OM1_HCR-C_Ftrgt-0.2_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds",1,0.2,160000,"C",FALSE,FALSE,30074.3245,25298.1868,27686.9632,0.11755,0.0922,0.1492,0.1366,0.11,0.198,0.165,0.12214801,0.131535791,0.185142507,30618.5,27600,28714,0,0,181380.0326,159323.6326,172270.1225,0.189168146,0.182331259,0.178933127,119970,1,0.937
"OM1_HCR-C_Ftrgt-0.2_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds",1,0.2,180000,"C",FALSE,FALSE,29715.1862,23854.8502,27337.3138,0.1037,0.0807,0.1292,0.1242,0.098,0.163,0.148,0.133019212,0.128976824,0.202176704,30556.5,25255,27766,0,0,183490.2918,161158.2478,174739.517,0.183516035,0.17503364,0.163965596,119970,1,0.945
"OM2_HCR-A_Ftrgt-0.12_Btrigger-180000_TACconstr-TRUE_BB-TRUE.rds",2,0.12,180000,"A",TRUE,TRUE,17852.05184,14915.23204,16056.57036,0.11935,0.1111,0.112,0.1432,0.128,0.16,0.159,0.270705225,0.250293954,0.265899136,17203.25,15498.5,15847.45,0,0,176299.5349,162702.9098,169134.8392,0.10291051,0.097211825,0.095319543,119970,1,0.933
"OM2_HCR-A_Ftrgt-0.12_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",2,0.12,190000,"A",FALSE,FALSE,17576.9684,14292.9158,16128.1238,0.11415,0.1059,0.1066,0.1382,0.124,0.151,0.157,0.136735352,0.222018926,0.196185313,17334.5,14905.5,15609.5,0,0,177438.9662,163336.1975,170240.1101,0.104996215,0.09908622,0.091670718,119970,1,0.935
"OM2_HCR-A_Ftrgt-0.14_Btrigger-220000_TACconstr-FALSE_BB-FALSE.rds",2,0.14,220000,"A",FALSE,FALSE,18489.7649,14635.626,16954.5482,0.11625,0.109,0.1076,0.1394,0.124,0.154,0.157,0.160181978,0.231537617,0.218046273,17118,14971.5,15528,0,0,175544.6323,163182.9588,169323.9014,0.107751228,0.101130274,0.09252733,119970,1,0.935
"OM2_HCR-A_Ftrgt-0.16_Btrigger-250000_TACconstr-TRUE_BB-TRUE.rds",2,0.16,250000,"A",TRUE,TRUE,18994.64288,14839.81072,17315.67516,0.11735,0.1105,0.1078,0.1406,0.125,0.155,0.157,0.192730742820715,0.237008706100258,0.238587199903965,17071.6,15035.5,15574.5,0,0,174824.238569647,163122.667118759,168653.198561135,0.107780812556414,0.101401240266708,0.093091419038668,119970,1,0.934
"OM2_HCR-A_Ftrgt-0.172_Btrigger-166708_TACconstr-FALSE_BB-FALSE.rds",2,0.172,166708,"A",FALSE,FALSE,22343.2506,20791.162,20868.663,0.1842,0.1817,0.1648,0.2086,0.195,0.236,0.22,0.140601396234986,0.119601530661408,0.19902490024242,22673,21984.5,20594.5,0,0,161703.126457893,155431.07236919,156159.729088402,0.151771489560627,0.144848271046021,0.146699678508554,119970,1,0.896
"OM2_HCR-A_Ftrgt-0_Btrigger-166708_TACconstr-FALSE_BB-FALSE.rds",2,0,166708,"A",FALSE,FALSE,0.540939594680873,7.54860956225988e-30,0.427554308797355,0.03825,0.0257,0.0488,0.0528,0.037,0.057,0.059,1,1,1.12480703508189,0,0,0,0,0,224170.500593018,178125.870146322,206590.531203364,0,0,0,119970,1,0.978
